Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
HAS,10-Q (Quarterly report),2020-11-04,2020-09-27,https://www.sec.gov/Archives/edgar/data/46080/000004608020000106/has-20200927.htm,,,,,,
HAS,10-Q (Quarterly report),2020-07-30,2020-06-28,https://www.sec.gov/Archives/edgar/data/46080/000004608020000085/has-20200628.htm,,,,,,
HAS,10-Q (Quarterly report),2020-05-07,2020-03-29,https://www.sec.gov/Archives/edgar/data/46080/000004608020000054/has-20200329x10q.htm,,,,,,
HAS,10-Q (Quarterly report),2019-10-22,2019-09-29,https://www.sec.gov/Archives/edgar/data/46080/000004608019000112/has-20190929x10q.htm,,,,,,
HAS,10-Q (Quarterly report),2019-07-31,2019-06-30,https://www.sec.gov/Archives/edgar/data/46080/000004608019000100/has-20190630x10q.htm,,,,,,
HAS,10-Q (Quarterly report),2019-05-01,2019-03-31,https://www.sec.gov/Archives/edgar/data/46080/000004608019000059/maindocument001.htm,,,,,,
HAS,10-Q (Quarterly report),2018-11-01,2018-09-30,https://www.sec.gov/Archives/edgar/data/46080/000004608018000142/maindocument001.htm,,,,,,
HAS,10-Q (Quarterly report),2018-08-01,2018-07-01,https://www.sec.gov/Archives/edgar/data/46080/000004608018000118/maindocument001.htm,,,,,,
HAS,10-Q (Quarterly report),2018-05-02,2018-04-01,https://www.sec.gov/Archives/edgar/data/46080/000004608018000079/maindocument001.htm,,,,,,
HAS,10-Q (Quarterly report),2017-11-08,2017-10-01,https://www.sec.gov/Archives/edgar/data/46080/000004608017000121/form10q3q.htm,,,,,,
HAS,10-Q (Quarterly report),2017-08-02,2017-07-02,https://www.sec.gov/Archives/edgar/data/46080/000004608017000095/form10q2q.htm,,,,,,
HAS,10-Q (Quarterly report),2017-05-10,2017-04-02,https://www.sec.gov/Archives/edgar/data/46080/000004608017000060/form10q1q.htm,,,,,,
HAS,10-Q (Quarterly report),2016-11-02,2016-09-25,https://www.sec.gov/Archives/edgar/data/46080/000004608016000219/form10q3q.htm,,,,,,
HAS,10-Q (Quarterly report),2016-07-26,2016-06-26,https://www.sec.gov/Archives/edgar/data/46080/000004608016000198/form10q2q.htm,,,,,,
HAS,10-Q (Quarterly report),2016-05-05,2016-03-27,https://www.sec.gov/Archives/edgar/data/46080/000004608016000156/form10q1q.htm,,,,,,
HAS,10-Q (Quarterly report),2015-11-04,2015-09-27,https://www.sec.gov/Archives/edgar/data/46080/000004608015000099/form10q3q.htm,,,,,,
HAS,10-Q (Quarterly report),2015-07-29,2015-06-28,https://www.sec.gov/Archives/edgar/data/46080/000004608015000074/form10q2q.htm,,,,,,
HAS,10-Q (Quarterly report),2015-05-06,2015-03-29,https://www.sec.gov/Archives/edgar/data/46080/000004608015000047/form10q1q.htm,,,,,,
HAS,10-Q (Quarterly report),2014-11-05,2014-09-28,https://www.sec.gov/Archives/edgar/data/46080/000004608014000109/form10q3q.htm,,,,,,
HAS,10-Q (Quarterly report),2014-07-31,2014-06-29,https://www.sec.gov/Archives/edgar/data/46080/000004608014000079/form10q2q.htm,,,,,,
HAS,10-Q (Quarterly report),2014-05-06,2014-03-30,https://www.sec.gov/Archives/edgar/data/46080/000004608014000048/form10q1q.htm,,,,,,
HAS,10-Q (Quarterly report),2013-11-05,2013-09-29,https://www.sec.gov/Archives/edgar/data/46080/000004608013000097/form10q3q.htm,,,,,,
HAS,10-Q (Quarterly report),2013-07-31,2013-06-30,https://www.sec.gov/Archives/edgar/data/46080/000004608013000076/q210q2013.htm,,,,,,
HAS,10-Q (Quarterly report),2013-05-08,2013-03-31,https://www.sec.gov/Archives/edgar/data/46080/000004608013000041/q11310q.htm,,,,,,
HAS,10-Q (Quarterly report),2012-11-07,2012-09-30,https://www.sec.gov/Archives/edgar/data/46080/000004608012000097/q32012.htm,,,,,,
HAS,10-Q (Quarterly report),2012-08-03,2012-07-01,https://www.sec.gov/Archives/edgar/data/46080/000004608012000077/q22012.htm,,,,,,
HAS,10-Q (Quarterly report),2012-05-10,2012-04-01,https://www.sec.gov/Archives/edgar/data/46080/000004608012000046/q12012.htm,,,,,,
HAS,10-K (Annual report),2024-02-28,2023-12-31,https://www.sec.gov/Archives/edgar/data/46080/000004608024000034/has-20231231.htm,,,,,,
HAS,10-K (Annual report),2023-02-22,2022-12-25,https://www.sec.gov/Archives/edgar/data/46080/000004608023000017/has-20221225.htm,,,,,,
HAS,10-K (Annual report),2022-02-23,2021-12-26,https://www.sec.gov/Archives/edgar/data/46080/000004608022000023/has-20211226.htm,,,,,,
HAS,10-K (Annual report),2021-02-24,2020-12-27,https://www.sec.gov/Archives/edgar/data/46080/000004608021000035/has-20201227.htm,,,,,,
HAS,10-K (Annual report),2020-02-27,2019-12-29,https://www.sec.gov/Archives/edgar/data/46080/000004608020000028/has-20191229x10k.htm,,,,,,
HAS,10-K (Annual report),2019-02-26,2018-12-30,https://www.sec.gov/Archives/edgar/data/46080/000119312519052025/d678728d10k.htm,,,,,,
HAS,10-K (Annual report),2018-02-26,2017-12-31,https://www.sec.gov/Archives/edgar/data/46080/000119312518058659/d501434d10k.htm,,,,,,
HAS,10-K (Annual report),2017-02-22,2016-12-25,https://www.sec.gov/Archives/edgar/data/46080/000119312517052143/d317222d10k.htm,,,,,,
HAS,10-K (Annual report),2016-02-24,2015-12-27,https://www.sec.gov/Archives/edgar/data/46080/000119312516475520/d120433d10k.htm,,,,,,
HAS,10-K (Annual report),2015-02-26,2014-12-28,https://www.sec.gov/Archives/edgar/data/46080/000119312515064946/d873185d10k.htm,,,,,,
HAS,10-K (Annual report),2014-02-26,2013-12-29,https://www.sec.gov/Archives/edgar/data/46080/000119312514069828/d635020d10k.htm,,,,,,
HAS,10-K (Annual report),2013-02-27,2012-12-30,https://www.sec.gov/Archives/edgar/data/46080/000119312513080002/d443615d10k.htm,,,,,,
HAS,10-K (Annual report),2012-02-22,2011-12-25,https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/d274949d10k.htm,,,,,,
JBL,10-Q (Quarterly report),2024-07-09,2024-05-31,https://www.sec.gov/Archives/edgar/data/898293/000162828024031429/jbl-20240531.htm,,,,,,
