model_name,graph_batch,g_index,logit,prob,rank,fact_index,influence
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,3,2,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,4,3,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,5,4,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,6,5,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,7,6,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,8,7,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,9,8,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,10,9,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,11,10,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,12,11,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,13,12,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,14,13,1.0
20250818_180036,11,0,0.3753998279571533,0.5927631258964539,15,14,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,1,0,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,2,1,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,3,2,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,4,3,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,5,4,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,6,5,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,7,6,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,8,7,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,9,8,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,10,9,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,11,10,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,12,11,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,13,12,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,14,13,1.0
20250818_180036,12,0,0.35588470101356506,0.5880438685417175,15,14,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,1,0,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,2,1,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,3,2,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,4,3,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,5,4,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,6,5,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,7,6,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,8,7,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,9,8,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,10,9,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,11,10,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,12,11,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,13,12,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,14,13,1.0
20250818_180036,13,0,0.3188813328742981,0.5790516138076782,15,14,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,1,0,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,2,1,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,3,2,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,4,3,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,5,4,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,6,5,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,7,6,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,8,7,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,9,8,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,10,9,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,11,10,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,12,11,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,13,12,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,14,13,1.0
20250818_180036,14,0,0.3665454089641571,0.5906239748001099,15,14,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,1,0,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,2,1,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,3,2,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,4,3,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,5,4,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,6,5,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,7,6,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,8,7,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,9,8,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,10,9,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,11,10,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,12,11,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,13,12,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,14,13,1.0
20250818_180036,15,0,0.2547021806240082,0.5633335113525391,15,14,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,1,0,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,2,1,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,3,2,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,4,3,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,5,4,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,6,5,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,7,6,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,8,7,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,9,8,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,10,9,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,11,10,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,12,11,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,13,12,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,14,13,1.0
20250818_180036,16,0,0.3635537624359131,0.5899004340171814,15,14,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,1,0,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,2,1,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,3,2,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,4,3,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,5,4,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,6,5,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,7,6,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,8,7,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,9,8,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,10,9,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,11,10,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,12,11,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,13,12,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,14,13,1.0
20250818_180036,17,0,0.3658764064311981,0.5904622077941895,15,14,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,1,0,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,2,1,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,3,2,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,4,3,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,5,4,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,6,5,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,7,6,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,8,7,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,9,8,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,10,9,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,11,10,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,12,11,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,13,12,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,14,13,1.0
20250818_180036,18,0,0.31359952688217163,0.5777636170387268,15,14,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,1,0,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,2,1,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,3,2,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,4,3,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,5,4,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,6,5,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,7,6,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,8,7,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,9,8,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,10,9,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,11,10,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,12,11,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,13,12,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,14,13,1.0
20250818_180036,19,0,0.32535839080810547,0.5806295871734619,15,14,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,1,0,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,2,1,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,3,2,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,4,3,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,5,4,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,6,5,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,7,6,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,8,7,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,9,8,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,10,9,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,11,10,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,12,11,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,13,12,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,14,13,1.0
20250818_180036,20,0,0.3650895655155182,0.5902718901634216,15,14,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,1,0,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,2,1,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,3,2,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,4,3,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,5,4,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,6,5,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,7,6,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,8,7,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,9,8,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,10,9,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,11,10,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,12,11,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,13,12,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,14,13,1.0
20250818_180036,21,0,0.3330853581428528,0.5825098752975464,15,14,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,1,0,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,2,1,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,3,2,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,4,3,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,5,4,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,6,5,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,7,6,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,8,7,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,9,8,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,10,9,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,11,10,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,12,11,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,13,12,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,14,13,1.0
20250818_180036,22,0,0.3283965289592743,0.581369161605835,15,14,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,1,0,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,2,1,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,3,2,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,4,3,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,5,4,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,6,5,1.0
20250818_180036,23,0,0.3816363215446472,0.594267725944519,7,6,1.0
