Date,Ticker,Real_Label,Misclassification_Type,Times_Correctly_Identified,Times_Misclassified,Mean_Attention_Entropy,Fact_Count,Unique_Clusters,Normalized_Entropy
2023-09-30,LEN,1,,32,0,2.485133,121,11,0.51819
2020-12-31,WFC,1,,32,0,2.470796,92,12,0.54642
2016-03-31,CSCO,0,,32,0,2.858123,42,12,0.76468
2023-12-31,FITB,0,,32,0,2.937065,70,10,0.691319
2017-12-31,GM,0,,32,0,2.841372,45,16,0.746421
2020-12-31,AAPL,0,,32,0,2.99267,273,18,0.533503
2017-06-30,AMAT,0,,32,0,2.921941,176,12,0.565119
2023-03-31,AFL,0,,32,0,2.201454,56,14,0.546897
2022-03-31,ACN,0,,32,0,2.722987,122,12,0.566814
2023-09-30,KEY,1,,32,0,2.943599,146,12,0.590656
2017-06-30,GLW,0,,32,0,2.803374,57,11,0.693381
2022-06-30,AIG,0,,32,0,2.654088,54,10,0.665354
2018-06-30,SBUX,0,,32,0,2.699951,40,16,0.731916
2022-09-30,ACN,0,,32,0,2.850793,71,12,0.66878
2023-03-31,INTC,0,,32,0,3.100483,533,14,0.493824
2023-12-31,SNPS,0,,32,0,2.691581,64,14,0.647188
2023-09-30,AMD,1,,32,0,3.035328,735,10,0.459907
2023-12-31,BEN,0,,32,0,2.336195,43,13,0.62113
2018-09-30,AAPL,0,,32,0,3.087912,374,12,0.521232
2023-12-31,ALL,0,,32,0,2.571591,51,14,0.654045
2020-09-30,JPM,1,,32,0,3.007629,215,16,0.560013
2021-12-31,KKR,0,,32,0,2.788905,123,12,0.579551
2017-12-31,ADI,0,,32,0,3.052162,100,11,0.662769
2017-03-31,AIG,0,,32,0,3.051209,106,12,0.654283
2023-12-31,MSCI,0,,32,0,2.81563,91,9,0.624189
2021-12-31,AMD,0,,32,0,2.882541,314,13,0.501364
2017-12-31,MCD,0,,32,0,2.881223,85,14,0.648537
2016-12-31,MS,0,,32,0,2.646944,80,14,0.604046
2019-09-30,C,0,,32,0,2.659408,96,10,0.582648
2023-12-31,CSCO,0,,32,0,2.845449,60,12,0.694971
2023-12-31,GRMN,0,,32,0,2.267167,42,9,0.606572
2016-12-31,MSFT,0,,32,0,3.105064,152,13,0.618061
2015-09-30,CSCO,0,,32,0,3.080143,49,12,0.79144
2017-09-30,ORCL,0,,32,0,2.783177,64,12,0.669213
2023-03-31,SBUX,0,,32,0,2.662886,38,17,0.732048
2021-12-31,BAC,0,,32,0,2.790833,103,14,0.602157
2023-03-31,CDNS,0,,32,0,2.707633,66,12,0.646266
2018-03-31,BX,0,,32,0,2.753714,44,7,0.727689
2023-09-30,AIG,0,,32,0,2.506846,51,12,0.637578
2017-09-30,HAS,0,,32,0,2.346737,70,16,0.552369
2020-12-31,MS,1,,32,0,2.685882,122,14,0.55909
2019-09-30,EBAY,0,,32,0,2.513633,74,9,0.584014
2023-03-31,FIS,0,,32,0,2.707445,52,14,0.685213
